abstract data type,抽象数据类型,Data structure that encapsulates its implementation.
iterator,迭代器,A type used to access and navigate among the elements of a container
link,链接,Compilation step in which multiple object files are put together to form a executable program.
literal,字面值,"A value such as a number, a character, or a string of characters. The value cannot be changed. Literal characters are enclosed in single quotes, literal strings in double quotes."
local scope,局部作用域,Colloquial synonym for block scope.
low-level const,底层const,A `const` that is not top-level.
manipulator,操纵符,"Object that when read or written ""manipulates"" the stream itself."
member,成员,Part of a class.
name lookup,名字查找,Process by which the use of a name is matched to its declaration
namespace,命名空间,Mechanism for putting names defined by a library into a single place.
namespace scope,命名空间作用域,The scope that is inside a namespace.
object,对象,A region of memory that has a type. A variable is an object that has a name.
object code,对象代码,Format into which the compiler transforms our source code
object file,对象文件,File holding object code generated by the compiler from a given source file.
order of evaluation,求值顺序,"Order, if any, in which the operands to an operator are evaluated."
overload resolution,重载确定,Function matching
overloaded operator,重载运算符,Version of an operator that is defined for use with a class type
parameter,形参,Local variables declared inside the function parameter list. Parameters are initialized by the arguments provided in each function call.
parameter list,形参列表,Part of the definition of a function. Possibly empty list that specifies what arguments can be used to call the function.
preprocessor variable,预处理器变量,Variable manoaged by the preprocessor. The preprocessor replaces each preprocessor variable by its value before our program is compiled.
recursive funtionc,递归函数,Function that calls itself directly of indirectly.
scope,作用域,"The portion of a program in which names have meaning. C++ has several levels of scope: global, class, namespace, block."
standard error,标准错误,"Output stream used for error reporting. Ordinarily, the standard ouput and the standard error are tied to the window in which the program is executed."
standard input,标准输入,Input stream usually associated with the window in which the program executes.
standard output,标准输出,Ouput stream usually associated with the window in which the program executes.
statement,语句,"A part of a program that specifies an action to take place when the program is executed. An expression followed by a semicolon is a statement; other kinds of statements include blocks and `if`, `for`, and `while` statements, all of which contain other statements within themselves."
temporary,临时值,Unnamed object created by the compiler while evaluation an expression. A temporary exists until the end of the largest expression that encloses the expression for which it was created.
top-level const,顶层const,The `const` that specifies that an object may not be changed.
type modifier,类型修饰符,例子: `*`和`&`
type qualifier,类型限定符,例子: `const`
type specifier,类型说明符,The name of a type.
typedef,typedef,"When `typedef` appears in the base type of a declaration, the names defined in the declaration are type names."
value initialization,值初始化,Initialization in which built-in types are initialized to zero and class types are initialized by the class's default constructor. Object of a class type can be value initialized only if the class has a default construcotr.
variable,变量,A named object
void type,void类型,Special-purpose type that has no operationss and no value. It is not possible to define a variable of type `void`.
void*,void*,Pointer type that can point to any nonconst type. Such pointer s may nore be dereferenced.
word,字,The natural unit of integer computation on a given machine. Usually a word is large enough to hold an address.
